A̱o,Defunciones,Tasa Bruta,Tasa Ajustada
1970,23187,5.6,6.4
1975,21984,4.8,5.4
1980,24014,5.0,5.1
1985,28196,5.7,5.3
1990,31701,6.0,4.9
1995,34 704,6.4,4.8
1996,35992,6.6,4.9
1997,34643,6.3,4.6
1998,34698,6.3,4.4
1999,35695,6.4,4.5
2000,34406,6.2,4.3
2001,36347,6.5,4.3
2002,33405,5.9,3.9
2003,36132,6.5,3.9
2004,37186,6.6,4.0
2005,38946,6.9,4.1
2006,36956,6.6,3.8
2007,37894,6.8,3.8
2008,40152,7.2,3.9
2009,40314,7.2,3.9
2010,41985,7.5,3.1
2011,40490,7.2,3.6
2012,41024,7.3,3.7
2013,42567,7.6,3.8
2014,44412,7.9,3.9
2015,45879,8.1,3.9
2016,45104,8.0,3.8
2017,48666,8.6,3.9
2018,48265,8.5,3.7
2019,49451,8.8,3.8
2020,50903,9.0,3.9
2021,75661,13.6,5.6
2022,55852,10.4,4.2
2023,53656,10.4,4.0
