A̱o,Defunciones,Tasa por 100 000 habitantes,% del total de defunciones,% del total de defunciones infecciosas y parasitarias
1980,316,3.2,0.6,32.0
1985,480,4.8,0.7,42.0
1990,429,4.0,0.6,42.0
1995,707,6.4,0.9,47.6
1996,617,5.6,0.8,48.9
1997,521,4.7,0.7,44.9
1998,487,4.4,0.6,49.4
1999,416,3.7,0.5,42.5
2000,264,2.4,0.3,35.4
2001,266,2.4,0.3,34.4
2002,253,2.2,0.3,34.9
2003,227,2.0,0.3,30.9
2004,241,2.1,0.3,32.5
2005,332,2.9,0.4,37.3
2006,239,2.1,0.3,29.4
2007,205,1.8,0.3,25.9
2008,207,1.8,0.2,27.0
2009,201,1.8,0.2,26.8
2010,265,2.4,0.3,29.6
2011,257,2.3,0.3,29.4
2012,287,2.6,0.3,29.0
2013,351,3.1,0.4,31.1
2014,318,2.8,0.3,26.5
2015,201,1.8,0.2,18.8
2016,190,1.7,0.2,17.5
2017,198,1.8,0.2,18.6
2018,190,1.7,0.2,17.5
2019,158,1.4,0.1,14.5
2020,179,1.6,0.2,17.1
2021,202,1.8,0.1,16.4
2022,193,1.8,0.2,15.1
2023,233,2.3,0.2,22.5
